,weight,n_prot,chi,eRMSD
323,3.4328212408160044e-06,1.0,-2.214536,1.291892
324,5.615135360967835e-06,1.0,-2.707692,1.316744
325,4.015605908167731e-06,1.0,-2.429444,1.279079
326,8.835685232934943e-06,1.0,-2.799233,1.346164
327,5.842325555362943e-06,1.0,-2.781633,1.280331
328,8.257045348375553e-06,1.0,-2.426618,1.221506
329,1.2395163065272695e-09,0.0,-2.493155,1.258826
330,7.038775474604052e-06,1.0,-2.138859,1.226802
331,3.6870101868998555e-06,1.0,-2.314880,1.284761
332,1.5282433806373406e-05,1.0,-2.388426,1.165068
333,1.0439011652195211e-05,1.0,-2.007719,1.204693
334,2.345783245711521e-09,0.0,-2.440812,1.215197
335,1.172176241684872e-05,1.0,-2.246460,1.193587
336,1.256891776676051e-06,1.0,-0.931479,0.736819
337,1.3049642770590241e-06,1.0,-0.941901,0.746628
338,9.047303372516322e-07,1.0,-0.736174,0.809108
339,3.977510176268382e-08,1.0,-0.423079,0.755936
340,1.6335454357493897e-09,1.0,0.264877,0.774477
341,2.0244462333676292e-09,1.0,-0.036127,0.798217
342,1.3173922826508208e-07,1.0,-0.591823,0.597818
343,1.4634311418983527e-07,1.0,-0.561476,0.653874
344,1.985001852817816e-09,1.0,-0.265073,0.475710
345,3.0070018790761987e-07,1.0,-0.699440,0.596785
346,7.919152169814333e-09,1.0,-0.265710,0.755328
347,3.272993811788813e-08,1.0,-0.441068,0.608748
348,1.154936922113038e-09,1.0,0.000627,0.666596
349,6.903869665803914e-08,1.0,-0.289960,0.889766
350,8.998174522192399e-09,1.0,-0.209975,0.823429
351,1.4949878648911791e-09,1.0,0.264528,0.756560
352,1.1460693039808192e-09,1.0,0.070372,0.769305
353,1.2486680290077132e-09,1.0,0.115434,0.783128
354,3.0647531659629533e-09,1.0,0.272162,0.819390
355,1.6768150137445442e-09,1.0,0.219502,0.794311
356,1.6041313434772732e-09,1.0,0.201731,0.794755
357,1.909660523087222e-09,1.0,0.241737,0.798554
358,1.608897679554403e-09,1.0,0.099330,0.803323
359,4.409415535733853e-08,1.0,0.584478,0.852406
360,5.4316695537345706e-08,1.0,0.238035,1.071051
361,4.999833885042215e-08,1.0,0.141563,1.092169
362,2.6716404761461224e-08,1.0,0.055060,0.968704
363,1.0275419326110596e-09,1.0,0.121935,0.747015
364,2.5651334537123362e-09,1.0,-0.044159,0.811857
365,2.6844063908742962e-08,1.0,0.056526,0.965626
366,5.623783009947843e-07,1.0,0.547549,1.070286
367,9.606708765220897e-10,1.0,0.108082,0.656446
368,2.146799242129562e-09,1.0,-0.186867,0.580234
369,2.922392109181896e-09,1.0,0.165939,0.831425
370,2.3362527052916392e-08,1.0,-0.119098,0.900330
371,3.217788059993225e-08,1.0,-0.109365,1.008810
372,6.697503467152741e-06,1.0,-0.925894,1.044088
373,5.226904042536564e-06,1.0,-0.851671,0.866237
374,2.8689426149635163e-08,1.0,-0.169289,0.895105
375,3.590611066810962e-08,1.0,-0.107919,0.954046
376,2.4391316236062965e-08,1.0,0.045824,0.996568
377,2.73406151504874e-08,1.0,0.022594,1.056372
378,1.0286627655332203e-07,1.0,-0.351621,0.879118
379,1.9335441622345572e-05,1.0,-1.057856,0.966155
380,4.564445266798947e-06,1.0,-0.739738,1.101363
381,1.158612429831151e-05,1.0,-1.220097,1.020326
382,6.151549478769759e-06,1.0,-0.886415,1.074270
383,1.6349687878015615e-05,1.0,-0.936192,0.918976
384,2.2193115349352783e-05,1.0,-1.150795,0.908175
385,2.0623015041259475e-06,1.0,-0.590172,0.982408
386,8.425241038489732e-06,1.0,-1.112794,1.074404
387,7.232204912591979e-06,1.0,-1.283221,1.261519
388,3.6793692927995135e-08,1.0,0.178427,1.060578
389,8.889179877215278e-07,1.0,-0.486829,0.942029
390,5.571969889618423e-08,1.0,-0.205488,1.021437
391,9.543068042784757e-06,1.0,-1.131112,1.093305
392,5.074418528127383e-06,1.0,-0.803469,1.083430
393,1.1648991525115408e-05,1.0,-1.059265,1.119774
394,1.1353630914347392e-05,1.0,-1.376442,1.103717
395,2.9694119434877375e-09,0.0,-0.817758,0.963423
